distribution,type,parameter,x,density
posterior,deep,OMEGA,-0.162694125388359,3.33066907387547e-16
posterior,deep,OMEGA,-0.16107333676391,6.66133814775094e-16
posterior,deep,OMEGA,-0.15945254813946,1.11022302462516e-16
posterior,deep,OMEGA,-0.157831759515011,2.77555756156289e-17
posterior,deep,OMEGA,-0.156210970890561,5.55111512312578e-16
posterior,deep,OMEGA,-0.154590182266112,-5.55111512312578e-17
posterior,deep,OMEGA,-0.152969393641663,5.55111512312578e-17
posterior,deep,OMEGA,-0.151348605017213,4.44089209850063e-16
posterior,deep,OMEGA,-0.149727816392764,1.11022302462516e-16
posterior,deep,OMEGA,-0.148107027768314,2.41126563160776e-16
posterior,deep,OMEGA,-0.146486239143865,1.09287578986539e-16
posterior,deep,OMEGA,-0.144865450519415,-2.27248775352962e-16
posterior,deep,OMEGA,-0.143244661894966,3.53883589099269e-16
posterior,deep,OMEGA,-0.141623873270517,2.77555756156289e-17
posterior,deep,OMEGA,-0.140003084646067,3.12250225675825e-17
posterior,deep,OMEGA,-0.138382296021618,-1.96023752785379e-16
posterior,deep,OMEGA,-0.136761507397168,5.72458747072346e-16
posterior,deep,OMEGA,-0.135140718772719,2.53269627492614e-16
posterior,deep,OMEGA,-0.133519930148269,1.35308431126191e-16
posterior,deep,OMEGA,-0.13189914152382,-1.73472347597681e-17
posterior,deep,OMEGA,-0.130278352899371,7.94503351997378e-16
posterior,deep,OMEGA,-0.128657564274921,-1.52655665885959e-16
posterior,deep,OMEGA,-0.127036775650472,-7.97972798949331e-17
posterior,deep,OMEGA,-0.125415987026022,5.06539254985228e-16
posterior,deep,OMEGA,-0.123795198401573,2.98372437868011e-16
posterior,deep,OMEGA,-0.122174409777123,5.55111512312578e-17
posterior,deep,OMEGA,-0.120553621152674,1.11022302462516e-16
posterior,deep,OMEGA,-0.118932832528225,3.92047505570758e-16
posterior,deep,OMEGA,-0.117312043903775,7.11236625150491e-16
posterior,deep,OMEGA,-0.115691255279326,1.14491749414469e-16
posterior,deep,OMEGA,-0.114070466654876,2.4980018054066e-16
posterior,deep,OMEGA,-0.112449678030427,5.759281940243e-16
posterior,deep,OMEGA,-0.110828889405977,1.59594559789866e-16
posterior,deep,OMEGA,-0.109208100781528,5.89805981832114e-17
posterior,deep,OMEGA,-0.107587312157079,-6.59194920871187e-17
posterior,deep,OMEGA,-0.105966523532629,-5.55111512312578e-17
