distribution,sign,shock,variable,time,value
Gaussian,neg,eta_a,ahat,1,-0.0299998109627886
Gaussian,neg,eta_a,ahat,2,-0.0271438289591312
Gaussian,neg,eta_a,ahat,3,-0.0245597364422219
Gaussian,neg,eta_a,ahat,4,-0.0222216495329224
Gaussian,neg,eta_a,ahat,5,-0.0201061484973882
Gaussian,neg,eta_a,ahat,6,-0.0181920431604369
Gaussian,neg,eta_a,ahat,7,-0.0164601606515633
Gaussian,neg,eta_a,ahat,8,-0.0148931533575345
Gaussian,neg,eta_a,ahat,9,-0.0134753251578972
Gaussian,neg,eta_a,ahat,10,-0.0121924742028654
Gaussian,neg,eta_a,ahat,11,-0.0110317506587526
Gaussian,neg,eta_a,ahat,12,-0.00998152799603938
Gaussian,neg,eta_a,ahat,13,-0.00903128653081644
Gaussian,neg,eta_a,ahat,14,-0.00817150805308272
Gaussian,neg,eta_a,ahat,15,-0.00739358048642925
Gaussian,neg,eta_a,ehat,1,-1.2167832188622e-19
Gaussian,neg,eta_a,ehat,2,-4.15511302235311e-18
Gaussian,neg,eta_a,ehat,3,-7.59919626757163e-18
Gaussian,neg,eta_a,ehat,4,-1.05687020544012e-17
Gaussian,neg,eta_a,ehat,5,-1.31477283924644e-17
Gaussian,neg,eta_a,ehat,6,-1.53992989274731e-17
Gaussian,neg,eta_a,ehat,7,-1.73717899045078e-17
Gaussian,neg,eta_a,ehat,8,-1.91032495634204e-17
Gaussian,neg,eta_a,ehat,9,-2.06243166809626e-17
Gaussian,neg,eta_a,ehat,10,-2.19602064658302e-17
Gaussian,neg,eta_a,ehat,11,-2.31320741454609e-17
Gaussian,neg,eta_a,ehat,12,-2.41579620778807e-17
Gaussian,neg,eta_a,ehat,13,-2.5053467028282e-17
Gaussian,neg,eta_a,ehat,14,-2.58322184251158e-17
Gaussian,neg,eta_a,ehat,15,-2.65062280516143e-17
Gaussian,neg,eta_a,zhat,1,0
Gaussian,neg,eta_a,zhat,2,-1.04330915673748e-18
Gaussian,neg,eta_a,zhat,3,-9.51007046918502e-19
Gaussian,neg,eta_a,zhat,4,-8.65116582977303e-19
Gaussian,neg,eta_a,zhat,5,-7.85831126999269e-19
Gaussian,neg,eta_a,zhat,6,-7.13053685522065e-19
Gaussian,neg,eta_a,zhat,7,-6.46516564272404e-19
Gaussian,neg,eta_a,zhat,8,-5.85858499393806e-19
Gaussian,neg,eta_a,zhat,9,-5.30673846981683e-19
Gaussian,neg,eta_a,zhat,10,-4.80543460537881e-19
Gaussian,neg,eta_a,zhat,11,-4.35053611079927e-19
